rating_10,adj._gross_(eur),age_stats,homegrown_low_paid_flag,transfer_status,proxy_market_value,market_value_lag
7.5,4195254.0,32.0,0,0,948801.47,0.0
5.7,2050000.0,27.0,0,0,80719.54,73729.12
1.0,30000.0,19.0,1,0,315.83,0.0
0.0,304147.0,24.0,1,0,0.0,6855.29
5.6,780000.0,31.0,1,0,26448.43,30066.36
5.9,1589197.0,34.0,0,0,294165.13,410739.76
2.4,364000.0,18.0,1,2,56863.71,53941.45
4.4,1067940.0,29.0,1,1,172539.95,119713.02
2.7,11010458.0,26.0,0,0,200589.51,332298.92
6.0,2545495.0,21.0,0,0,127625.26,49452.76
4.2,70000.0,21.0,1,0,15738.08,0.0
6.2,588784.0,26.0,1,0,35398.03,0.0
2.1,3720000.0,32.0,0,2,45919.32,115151.13
8.0,749918.0,23.0,1,0,276572.27,0.0
4.8,830423.0,29.0,1,0,138711.68,0.0
2.3,650000.0,21.0,1,0,84930.38,0.0
7.0,4494915.0,27.0,0,1,285976.75,285976.75
1.7,270000.0,20.0,1,0,6469.23,0.0
6.9,1563208.0,28.0,0,0,405770.55,495098.92
1.7,1560000.0,25.0,0,0,20981.52,0.0
0.3,6000000.0,30.0,0,2,106000.35,0.0
7.4,330000.0,24.0,1,0,114355.04,71705.52
5.6,1890000.0,29.0,0,0,413607.75,484293.13
3.3,2703928.0,19.0,1,0,84194.82,0.0
1.3,870000.0,28.0,1,2,49568.16,136032.36
4.7,2436768.0,28.0,0,0,437960.43,822467.05
7.5,639994.0,20.0,1,0,235878.81,0.0
7.6,540000.0,26.0,1,0,176334.68,0.0
0.4,424483.0,33.0,1,0,1150.42,3057.67
2.3,460000.0,26.0,1,2,11672.55,36698.01
7.8,1800000.0,33.0,0,0,474242.35,369481.3
3.2,1211969.0,29.0,1,0,34344.36,0.0
3.6,770000.0,27.0,1,2,19490.95,25745.5
3.4,167805.0,30.0,1,0,20910.24,0.0
1.0,2600000.0,30.0,0,1,17333.33,26833.03
4.1,260000.0,19.0,1,0,63298.13,0.0
4.8,840000.0,29.0,1,0,39220.41,30945.09
1.5,328434.0,18.0,1,0,7418.04,0.0
5.2,270000.0,23.0,1,0,68728.51,0.0
4.0,3850000.0,31.0,0,2,92902.34,68349.32
1.7,2340000.0,32.0,0,2,23479.95,59551.78
7.7,4790000.0,26.0,0,0,405101.13,367827.96
2.7,650000.0,23.0,1,2,14295.82,802.48
1.4,1040000.0,22.0,1,0,13338.68,0.0
5.2,1280000.0,28.0,1,0,68015.21,108285.56
6.0,1165411.0,33.0,1,0,56768.12,114470.96
8.7,3408547.0,23.0,0,0,227872.63,224946.98
1.1,340000.0,28.0,1,0,2613.16,7006.54
1.0,190704.0,23.0,1,0,1565.43,4817.51
1.1,1300000.0,19.0,0,0,93228.95,0.0
5.3,2080000.0,27.0,0,0,75797.02,0.0
7.1,1560000.0,23.0,0,0,540006.6,14086.59
8.3,7800000.0,30.0,0,2,399201.98,317513.19
6.4,720000.0,22.0,1,0,38934.15,0.0
2.1,1380000.0,22.0,0,1,37885.26,104111.21
0.0,42285.0,19.0,1,0,0.0,0.0
4.3,720000.0,19.0,1,0,30788.73,0.0
3.8,2300000.0,28.0,0,0,59044.12,83267.51
2.7,317839.0,19.0,1,2,7986.82,507.83
2.6,180000.0,20.0,1,0,6741.3,0.0
8.9,1589197.0,29.0,0,0,512996.55,546691.86
4.8,600000.0,31.0,1,0,26613.98,24503.12
5.3,1242388.0,27.0,1,0,43810.1,0.0
6.8,4195254.0,23.0,0,0,1206866.68,0.0
5.9,1604639.0,29.0,0,0,87818.33,73630.83
5.7,510000.0,22.0,1,0,24497.66,0.0
4.4,2000000.0,29.0,0,2,344443.81,1070758.33
6.5,617991.0,27.0,1,0,152281.47,0.0
5.8,871853.0,20.0,1,0,63082.92,0.0
4.5,2165255.0,29.0,0,0,89909.93,89414.09
1.1,2600000.0,27.0,0,0,133396.87,310924.36
3.6,2000000.0,26.0,0,2,319278.55,1312000.15
2.4,1150000.0,28.0,1,2,116583.68,227096.19
3.1,1780757.0,22.0,0,0,46542.83,14273.59
3.0,5297064.0,28.0,0,0,98539.66,0.0
1.1,280548.0,20.0,1,0,16792.74,0.0
1.8,1560000.0,23.0,0,0,23723.94,26334.71
3.0,1346632.0,32.0,1,0,21273.46,0.0
7.4,14983051.0,33.0,0,0,825235.02,0.0
3.8,17380339.0,29.0,0,0,370368.61,0.0
4.9,3142141.0,26.0,0,0,148438.04,0.0
3.8,3895593.0,28.0,0,0,529634.05,0.0
9.5,11110000.0,25.0,0,0,1194015.62,1282011.99
6.4,239729.0,21.0,1,0,70580.04,0.0
6.6,510000.0,34.0,1,0,18460.0,16963.76
3.9,1850000.0,20.0,0,0,67458.08,20955.81
5.3,3396830.0,28.0,0,0,635532.07,0.0
5.2,3210000.0,27.0,0,0,701973.01,960557.83
3.5,1400000.0,22.0,0,2,41833.31,14238.09
2.9,300244.0,30.0,1,0,5242.02,12402.25
0.0,3390472.0,21.0,0,0,0.0,0.0
1.8,1200000.0,24.0,1,0,108415.49,0.0
8.0,12500000.0,22.0,0,0,1296756.62,941113.88
2.6,1040000.0,21.0,1,2,24389.5,8630.83
6.5,419513.0,19.0,1,2,39063.88,151.95
3.4,1300000.0,32.0,0,0,39059.75,20696.01
7.7,1485699.0,34.0,0,0,327344.57,0.0
0.3,639758.0,23.0,1,2,2231.0,34255.24
0.3,127136.0,17.0,1,0,3671.08,0.0
2.4,215133.0,18.0,1,0,4923.07,0.0
0.3,2860000.0,27.0,0,0,53316.05,618171.54
1.0,580000.0,27.0,1,0,4149.18,0.0
3.6,55533.0,23.0,1,0,1545.16,1439.96
6.9,16056724.0,27.0,0,0,1051769.54,0.0
8.0,718204.0,33.0,1,0,173236.78,0.0
5.4,1500000.0,35.0,0,2,66147.36,133481.87
7.8,1000000.0,28.0,1,0,311660.82,0.0
8.6,362363.0,33.0,1,0,16963.76,0.0
1.2,1863582.0,24.0,0,2,110692.04,360977.09
3.7,1665986.0,23.0,0,0,47454.84,106978.31
4.4,20199479.0,33.0,0,0,2728166.21,0.0
5.9,1817953.0,20.0,0,0,537151.84,0.0
0.1,2160000.0,26.0,0,1,1979.5,154478.01
6.2,6600000.0,20.0,0,2,577752.55,37267.31
0.0,280548.0,19.0,1,0,0.0,0.0
1.0,3331972.0,30.0,0,0,20800.0,0.0
0.2,1090000.0,23.0,1,0,2160.16,182344.43
0.4,300000.0,17.0,1,0,10352.53,0.0
2.5,4850000.0,24.0,0,2,96395.44,20181.51
6.4,951113.0,21.0,1,0,288049.37,0.0
7.4,2940319.0,35.0,0,0,667108.98,868085.77
8.3,2040000.0,24.0,0,0,199561.21,126755.03
0.3,320000.0,20.0,1,0,8853.55,0.0
3.0,1627180.0,31.0,0,0,40343.15,0.0
0.8,1500000.0,27.0,0,2,8918.0,22622.4
6.2,26932639.0,32.0,0,0,868400.09,0.0
0.8,10400000.0,30.0,0,0,59383.78,165395.08
0.3,1030000.0,24.0,1,0,22603.13,144166.54
2.5,160000.0,26.0,1,0,2969.62,0.0
5.2,496424.0,23.0,1,0,30398.47,0.0
1.2,328434.0,20.0,1,0,23820.18,0.0
1.2,0.0,20.0,1,1,0.0,0.0
1.7,930000.0,23.0,1,2,81758.54,123521.11
5.7,6108615.0,29.0,0,0,211880.03,185325.71
6.1,352010.0,28.0,1,0,13834.7,20137.06
1.0,3250000.0,27.0,0,0,24074.07,137971.33
4.9,120000.0,21.0,1,2,5267.06,3890.86
2.8,5720000.0,25.0,0,0,752438.41,1706607.81
0.0,169842.0,19.0,1,0,0.0,0.0
3.1,1700000.0,25.0,0,2,239357.75,556936.89
7.1,1400000.0,30.0,0,0,61960.48,90210.72
2.6,776493.0,34.0,1,2,65667.27,521002.77
5.4,8750000.0,29.0,0,0,467188.16,0.0
1.9,3887300.0,25.0,0,1,52297.84,132878.02
1.7,2860000.0,22.0,0,2,258700.0,179197.19
2.8,1006832.0,28.0,1,0,17928.74,35108.92
3.1,3330000.0,31.0,0,2,63211.31,29389.24
7.8,0.0,23.0,1,0,0.0,0.0
0.4,1346337.0,27.0,1,0,3974.82,0.0
3.7,4195254.0,27.0,0,0,94323.82,0.0
4.3,1280000.0,23.0,1,0,67286.35,60123.65
0.4,2080000.0,30.0,0,2,39288.89,343987.72
1.3,280000.0,20.0,1,0,3566.01,0.0
3.3,113871.0,20.0,1,0,3054.2,0.0
1.0,1700000.0,26.0,0,0,13076.8,21769.2
2.0,370000.0,20.0,1,0,7138.41,0.0
2.2,2560000.0,26.0,0,0,253629.28,0.0
3.9,52439.0,20.0,1,0,1818.7,0.0
6.4,3000000.0,25.0,0,0,218874.96,196191.02
0.2,560000.0,21.0,1,2,1749.06,20899.33
0.3,576831.0,30.0,1,0,10144.52,103447.13
3.0,930000.0,29.0,1,0,112433.33,0.0
2.7,1177131.0,23.0,1,0,33924.85,0.0
3.3,600000.0,28.0,1,0,20022.43,0.0
3.1,40000.0,20.0,1,0,7187.78,1036.48
8.0,340000.0,24.0,1,0,21011.53,16327.13
6.1,1890000.0,32.0,0,0,67772.29,31338.54
1.7,784004.0,27.0,1,0,8982.85,6506.22
4.7,226455.0,19.0,1,0,56494.98,0.0
5.9,40000.0,17.0,1,0,2609.27,0.0
4.3,1185125.0,26.0,1,0,53505.53,125002.19
1.1,5993220.0,30.0,0,0,246133.33,0.0
2.9,1498305.0,32.0,0,0,22586.21,0.0
1.0,390000.0,22.0,1,0,3427.12,0.0
5.1,2244387.0,23.0,0,1,499991.72,499991.72
8.3,6480000.0,26.0,0,0,387026.27,369170.94
4.5,475300.0,20.0,1,2,18976.07,145378.38
3.3,460099.0,29.0,1,0,13160.51,0.0
3.7,9439052.0,27.0,0,0,234097.23,274960.48
4.9,3960000.0,27.0,0,0,134482.72,41841.72
1.4,1887810.0,27.0,0,2,114392.75,320187.04
2.4,2860000.0,22.0,0,0,360745.99,533639.36
4.6,6000000.0,26.0,0,0,299337.68,646426.22
0.2,100000.0,18.0,1,0,253.21,823.44
4.5,2040000.0,24.0,0,2,429017.75,114637.71
5.6,1271357.0,22.0,1,1,86899.88,1299.69
1.1,3210000.0,20.0,0,0,213956.25,0.0
7.8,2097627.0,25.0,0,0,634207.09,0.0
8.7,463493.0,22.0,1,0,184484.44,0.0
1.7,583541.0,28.0,1,0,9165.38,0.0
6.2,1150000.0,24.0,1,0,84991.48,0.0
8.0,300000.0,22.0,1,0,31066.75,0.0
0.2,60000.0,18.0,1,0,218.67,0.0
10.0,24847766.0,33.0,0,0,2261118.03,1647154.74
3.4,10140000.0,23.0,0,2,421743.0,1023273.33
4.0,150000.0,20.0,1,0,34067.02,0.0
0.3,130000.0,20.0,1,0,3461.75,0.0
1.7,7925938.0,25.0,0,0,92618.51,0.0
6.6,325436.0,29.0,1,0,12402.25,0.0
5.2,4160000.0,26.0,0,0,235444.16,42426.37
5.0,6500000.0,30.0,0,1,310503.37,253615.44
8.4,5130000.0,24.0,0,2,508958.13,260510.95
1.3,52973.0,17.0,1,0,769.39,0.0
0.4,190000.0,21.0,1,0,917.16,0.0
1.7,520000.0,24.0,1,0,10692.94,0.0
4.0,6663944.0,23.0,0,2,202449.66,86026.98
0.7,780000.0,32.0,1,0,23284.83,145403.62
4.5,4399956.0,35.0,0,0,565050.72,0.0
1.1,7800000.0,21.0,0,1,79939.38,171552.04
6.9,550000.0,21.0,1,0,203544.32,0.0
10.0,525709.0,25.0,1,0,204539.34,0.0
1.0,620000.0,31.0,1,0,3999.97,0.0
2.4,4050000.0,26.0,0,0,106229.41,32400.16
4.2,6663944.0,28.0,0,2,1060910.56,1641771.37
9.3,828259.0,27.0,1,0,306816.7,323232.84
3.4,1763891.0,26.0,0,2,41114.37,12927.77
6.1,898983.0,28.0,1,0,192338.12,0.0
2.9,2730000.0,25.0,0,2,89362.84,41546.13
4.1,70000.0,26.0,1,0,2069.47,0.0
3.2,180000.0,23.0,1,0,4806.8,0.0
7.3,390802.0,21.0,1,0,23933.69,25711.42
6.7,5143801.0,31.0,0,0,1173514.83,643030.29
1.0,1271357.0,25.0,1,0,9600.03,43115.87
0.4,2780000.0,30.0,0,0,60233.85,380895.24
4.0,372716.0,31.0,1,0,52541.36,96878.31
9.6,13587322.0,31.0,0,0,689977.6,0.0
2.9,976308.0,23.0,1,0,20934.88,0.0
7.5,5393898.0,23.0,0,0,431716.47,0.0
2.9,1560000.0,30.0,0,1,42553.73,22395.97
2.3,1573175.0,22.0,0,0,30080.95,0.0
7.0,5500000.0,28.0,0,0,258079.19,242350.09
7.0,4680000.0,26.0,0,2,233667.63,346480.37
1.2,1110000.0,19.0,1,2,14351.01,3169.09
7.2,8580000.0,24.0,0,0,2866779.91,2294766.29
7.4,600000.0,21.0,1,0,39584.35,3720.16
1.1,1070000.0,34.0,1,0,42022.05,122282.64
0.2,386244.0,20.0,1,0,797.68,0.0
10.0,3380000.0,31.0,0,0,205567.12,127894.17
3.6,6180000.0,22.0,0,0,190928.68,0.0
6.7,11693254.0,25.0,0,0,3117337.76,0.0
5.8,2693264.0,25.0,0,0,625088.76,0.0
3.3,1000000.0,18.0,1,0,52809.08,0.0
7.7,450000.0,26.0,1,0,148680.31,172802.15
5.1,2780000.0,32.0,0,0,82264.69,105691.31
8.9,3360000.0,22.0,0,0,253406.22,13826.4
1.4,4160000.0,30.0,0,2,231842.6,574231.45
4.1,2560000.0,23.0,0,2,85921.01,0.0
4.2,600000.0,26.0,1,2,18068.11,25192.13
4.2,792594.0,21.0,1,0,157847.92,0.0
1.8,475300.0,23.0,1,0,10171.36,0.0
2.4,1200000.0,21.0,1,1,161212.33,28091.15
5.0,530000.0,26.0,1,0,115599.74,157030.44
7.5,770000.0,26.0,1,0,249336.06,325662.37
0.7,2350000.0,21.0,0,1,22057.88,130279.01
4.3,2768789.0,26.0,0,2,125002.19,54897.01
2.2,686544.0,24.0,1,1,70448.24,19298.96
3.5,2038098.0,30.0,0,0,40069.02,0.0
5.6,4347943.0,30.0,0,0,134297.56,0.0
1.3,0.0,25.0,1,2,0.0,153457.18
5.0,500000.0,24.0,1,0,117963.46,0.0
0.3,950600.0,20.0,1,0,22800.41,68369.64
0.2,3640000.0,22.0,0,1,10852.34,347711.7
9.6,5393898.0,22.0,0,0,2263650.16,0.0
3.6,1698415.0,28.0,0,0,221193.43,0.0
1.4,560000.0,19.0,1,0,11557.97,0.0
6.1,555329.0,20.0,1,0,29592.32,0.0
8.0,8885258.0,27.0,0,0,2759229.99,1428139.62
6.2,3146351.0,23.0,0,0,227995.93,246514.9
2.0,1820000.0,25.0,0,0,175004.26,556564.79
6.0,630000.0,23.0,1,0,30743.53,31362.92
4.5,1172406.0,22.0,1,2,64631.35,42146.1
6.9,13883216.0,32.0,0,0,796017.65,153080.56
1.0,33968.0,19.0,1,0,315.83,0.0
5.0,490000.0,23.0,1,0,121505.3,23443.57
5.4,3736513.0,25.0,0,0,133192.78,0.0
7.1,4160000.0,29.0,0,0,1134870.71,960137.17
0.8,706982.0,22.0,1,0,4596.7,0.0
7.9,3927677.0,25.0,0,0,314201.56,0.0
1.0,2000000.0,25.0,0,0,103940.74,0.0
0.6,120000.0,18.0,1,0,1069.9,0.0
7.7,630000.0,30.0,1,0,179529.94,0.0
8.1,2780000.0,29.0,0,0,864606.92,844051.59
5.4,440000.0,24.0,1,0,27890.9,0.0
7.9,2040000.0,25.0,0,0,184041.69,154692.3
4.9,2000000.0,27.0,0,0,411800.77,336050.84
1.3,832993.0,22.0,1,0,9030.15,12417.82
8.0,880978.0,26.0,1,0,290146.94,285988.16
5.9,372716.0,27.0,1,0,87838.84,52696.07
1.1,7547509.0,24.0,0,2,65373.36,272929.61
0.1,3177111.0,22.0,0,0,3010.96,0.0
1.4,600000.0,27.0,1,0,8714.18,0.0
7.8,717311.0,23.0,1,0,247502.78,0.0
0.6,2114265.0,35.0,0,0,6405.41,0.0
9.4,1300000.0,24.0,0,0,565324.91,427883.88
3.2,190000.0,22.0,1,0,5193.01,0.0
0.4,62927.0,18.0,1,0,1986.63,0.0
4.9,3000000.0,21.0,0,1,197901.21,0.0
1.0,624000.0,28.0,1,0,4457.14,0.0
0.3,150000.0,20.0,1,0,4175.56,4526.92
0.8,4685668.0,30.0,0,0,141118.58,0.0
5.8,554816.0,22.0,1,0,36984.82,0.0
5.7,8885258.0,31.0,0,0,1720083.8,1931499.02
2.9,40000.0,18.0,1,0,1213.38,786.41
3.0,1920000.0,27.0,0,2,60701.08,111687.15
1.9,320000.0,21.0,1,0,34986.17,30281.99
6.6,2000000.0,23.0,0,0,644245.15,472178.81
1.3,347880.0,32.0,1,0,2516.51,0.0
2.0,9519905.0,32.0,0,0,149847.63,113602.53
1.0,2860000.0,31.0,0,0,18451.61,19066.67
6.8,420000.0,24.0,1,2,132554.05,67795.77
4.1,448877.0,25.0,1,0,74598.25,0.0
6.2,1200000.0,26.0,1,2,81190.66,1143.73
1.0,948562.0,27.0,1,0,6148.33,0.0
1.1,1790000.0,25.0,0,0,16106.52,0.0
8.1,1250000.0,23.0,1,2,489914.74,20338.19
1.0,1853229.0,28.0,0,1,12785.69,15952.62
0.9,2080000.0,19.0,0,0,28179.06,0.0
2.0,14400000.0,29.0,0,0,190190.86,468384.51
8.0,10900000.0,29.0,0,2,849849.43,969124.07
1.9,1760050.0,24.0,0,0,161636.03,531179.64
2.5,2000000.0,20.0,0,2,47833.61,17502.27
4.7,1790000.0,34.0,0,0,46312.61,26622.16
1.6,2998284.0,24.0,0,1,52819.5,26699.97
3.1,840000.0,26.0,1,0,28386.83,0.0
0.5,566138.0,19.0,1,0,3490.84,0.0
1.2,1000000.0,24.0,1,2,9524.82,15617.08
6.0,2600000.0,33.0,0,0,135059.82,246354.89
10.0,4160000.0,21.0,0,2,579963.69,30096.81
3.7,10994176.0,28.0,0,0,240381.36,0.0
8.0,1040000.0,25.0,1,0,370169.38,391336.15
8.1,1021196.0,28.0,1,0,292725.29,0.0
6.1,1300000.0,31.0,0,0,72208.21,91610.53
4.4,330000.0,23.0,1,0,71705.52,0.0
3.3,27359073.0,32.0,0,0,2924780.31,0.0
1.2,460099.0,32.0,1,0,3057.67,0.0
6.7,8989831.0,30.0,0,0,1958070.92,0.0
3.3,538368.0,25.0,1,0,78052.75,0.0
2.4,2264554.0,20.0,0,1,278923.64,278923.64
1.0,1954011.0,31.0,0,2,11935.51,88685.69
5.9,200000.0,22.0,1,0,15349.43,12318.89
6.6,7800000.0,25.0,0,2,2308464.72,186848.46
6.1,5797812.0,35.0,0,2,278020.3,341167.02
1.6,400000.0,22.0,1,0,8144.04,0.0
0.4,0.0,22.0,1,1,0.0,28886.98
6.1,1500000.0,30.0,0,2,340154.61,208233.52
0.2,1300000.0,19.0,0,1,3118.66,30959.36
4.6,8000000.0,29.0,0,0,240516.87,198129.22
1.3,6000000.0,21.0,0,2,456192.0,1657765.75
4.4,2200000.0,28.0,0,0,391808.36,494722.95
5.7,4160000.0,25.0,0,2,270228.18,179048.93
4.3,640000.0,26.0,1,0,30159.65,0.0
1.0,390000.0,26.0,1,0,3000.0,0.0
1.4,4000000.0,26.0,0,0,43409.87,176511.34
7.7,187604.0,23.0,1,0,16097.01,0.0
3.1,8970000.0,28.0,0,1,185230.67,131877.46
5.5,5993220.0,27.0,0,0,1194074.07,0.0
1.8,582851.0,23.0,1,0,46486.61,0.0
5.8,2270000.0,28.0,0,0,526347.71,0.0
3.2,1510248.0,31.0,0,0,28433.3,5816.73
9.0,1177131.0,29.0,1,1,357304.52,18262.32
4.3,3900000.0,25.0,0,2,126457.21,121602.46
4.5,1943650.0,25.0,0,1,374136.94,372534.92
3.7,5000000.0,27.0,0,2,195889.38,333056.2
1.3,800000.0,24.0,1,0,8490.09,26019.76
3.1,190000.0,24.0,1,0,4713.1,5689.12
6.7,718204.0,30.0,1,0,161030.97,0.0
0.4,370000.0,20.0,1,0,12024.35,0.0
7.7,300000.0,26.0,1,0,25163.47,5273.36
4.3,240000.0,22.0,1,0,13231.71,0.0
2.0,1683290.0,30.0,0,0,116527.94,0.0
0.7,2401494.0,26.0,0,0,17138.77,0.0
4.1,283069.0,22.0,1,0,52900.76,0.0
3.1,2735615.0,24.0,0,0,63682.26,126706.83
8.3,930000.0,33.0,1,2,259464.75,30710.04
1.7,6211941.0,25.0,0,0,115015.74,896468.25
5.5,6800000.0,30.0,0,0,232890.82,236592.37
4.2,1800000.0,25.0,0,0,85407.83,49481.78
3.3,3016000.0,23.0,0,2,494340.21,29127.11
8.6,3450000.0,28.0,0,0,198165.19,129117.01
3.7,781271.0,26.0,1,0,28033.24,0.0
7.0,100000.0,27.0,1,0,4815.51,1624.53
2.0,1450000.0,21.0,0,1,166407.06,36135.42
5.6,1890000.0,31.0,0,0,386023.91,518380.86
6.2,2224875.0,33.0,0,0,443211.87,92064.7
1.6,4800000.0,33.0,0,0,280243.36,834495.13
2.3,190000.0,17.0,1,0,7452.86,0.0
4.7,600000.0,22.0,1,0,23885.97,13720.0
4.4,4680000.0,24.0,0,0,973428.66,1258569.04
0.7,6760000.0,24.0,0,1,42983.25,242804.02
5.7,460000.0,25.0,1,0,19771.22,23895.59
1.0,33107.0,22.0,1,0,272.76,0.0
3.8,5250000.0,26.0,0,2,145308.18,153019.76
0.5,750000.0,30.0,1,0,18480.99,0.0
5.4,965086.0,33.0,1,0,26504.2,0.0
0.8,410000.0,35.0,1,0,1880.53,1759.49
3.5,692197.0,32.0,1,0,13619.7,3106.22
2.5,576271.0,22.0,1,0,66891.26,0.0
0.2,44142.0,16.0,1,0,110.62,0.0
1.2,2998284.0,24.0,0,1,39354.66,52819.5
7.5,7280000.0,23.0,0,0,674599.73,0.0
6.8,1943650.0,24.0,0,0,147215.01,161155.13
4.4,5000000.0,21.0,0,0,295822.69,467209.45
2.2,639994.0,24.0,1,0,10029.9,0.0
2.9,4068343.0,31.0,0,0,67172.45,134297.56
6.0,7500000.0,29.0,0,2,288863.6,0.0
8.2,15000000.0,27.0,0,0,1299431.83,934042.13
0.6,283172.0,25.0,1,0,1316.32,0.0
7.3,440000.0,34.0,1,0,17642.18,14888.51
5.5,860000.0,24.0,1,0,222180.94,168547.02
3.0,3390286.0,26.0,0,0,105858.22,0.0
7.2,125854.0,19.0,1,0,12944.34,0.0
3.5,300000.0,20.0,1,0,9847.14,7986.82
2.8,77249.0,19.0,1,0,2957.02,0.0
2.4,3210000.0,23.0,0,1,64113.29,98500.2
1.7,41951.0,17.0,1,0,786.41,0.0
1.9,788564.0,31.0,1,0,49819.42,0.0
1.6,130000.0,22.0,1,2,11365.15,1397.97
6.7,2340000.0,21.0,0,0,138443.34,0.0
5.8,3640000.0,20.0,0,2,1189299.4,291467.62
1.5,520000.0,24.0,1,0,6507.5,25148.81
7.3,1200000.0,36.0,1,2,69602.89,59789.46
10.0,1761956.0,37.0,0,0,530553.21,495883.91
6.7,485862.0,24.0,1,0,23895.59,45424.61
6.2,4420000.0,32.0,0,0,241648.36,337242.96
0.8,3170375.0,23.0,0,0,19542.11,0.0
3.3,44142.0,18.0,1,0,1389.1,0.0
6.1,190000.0,25.0,1,0,8674.46,4713.1
1.8,14580000.0,25.0,0,0,1255825.72,2756515.84
6.9,510000.0,21.0,1,0,31285.03,0.0
1.5,780000.0,28.0,1,0,8383.38,20427.94
6.9,2097627.0,30.0,0,0,466713.19,0.0
9.6,1853972.0,36.0,0,0,495883.91,0.0
0.9,56614.0,18.0,1,0,525.58,0.0
1.6,5200000.0,29.0,0,0,83213.36,225892.57
5.5,1388322.0,29.0,0,0,278815.99,339754.0
4.7,921734.0,26.0,1,0,178826.54,149151.74
4.2,930000.0,30.0,1,0,146465.88,252073.01
7.7,2377781.0,22.0,0,0,209440.62,0.0
2.5,3300000.0,31.0,0,0,76921.74,0.0
2.5,2898906.0,34.0,0,0,39593.89,181748.99
7.3,13130000.0,28.0,0,0,3849528.77,933479.79
1.6,900000.0,25.0,1,0,16126.12,0.0
6.6,2560000.0,24.0,0,2,131477.74,75523.47
3.6,397280.0,22.0,1,0,67149.05,0.0
4.4,832993.0,29.0,1,1,134579.55,93375.03
4.1,908977.0,27.0,1,0,141328.56,0.0
6.4,897755.0,29.0,1,0,50292.3,0.0
8.4,930000.0,24.0,1,2,60511.38,6785.78
4.8,44142.0,19.0,1,0,11414.12,0.0
0.4,1830000.0,26.0,0,2,41707.94,14639.87
4.5,1954011.0,31.0,0,0,302833.66,308490.4
7.8,7800000.0,27.0,0,0,2522344.9,1685619.09
4.5,2220000.0,29.0,0,0,386525.52,372650.33
5.7,2820000.0,24.0,0,2,748067.23,293077.32
2.3,3600000.0,28.0,0,0,55790.7,76607.07
0.8,1820000.0,26.0,0,1,15320.7,59913.35
3.6,2200000.0,22.0,0,0,67868.41,0.0
8.2,2460000.0,27.0,0,2,831661.95,847411.94
4.1,2000000.0,23.0,0,0,100113.6,151747.99
0.4,1245702.0,22.0,1,1,32205.25,32205.25
1.0,365711.0,20.0,1,0,20427.18,0.0
4.0,580000.0,22.0,1,0,19970.73,0.0
5.9,1480000.0,25.0,0,2,65498.96,49902.35
4.8,113228.0,23.0,1,0,23395.2,0.0
7.2,4449750.0,24.0,0,0,360156.59,312508.98
4.4,4680000.0,23.0,0,0,1021121.26,2261704.0
7.2,3284339.0,27.0,0,0,925241.68,1257547.18
4.5,280000.0,22.0,1,0,65524.5,0.0
1.0,3210000.0,30.0,0,0,21400.08,26283.25
3.2,165533.0,18.0,1,0,4991.49,0.0
0.4,1062847.0,27.0,1,0,19863.39,0.0
0.9,588784.0,22.0,1,0,6084.11,0.0
3.9,2400000.0,31.0,0,2,344087.23,473719.29
2.7,1358732.0,25.0,1,0,36419.56,0.0
3.6,750000.0,32.0,1,0,15937.48,9516.57
1.4,33107.0,18.0,1,0,448.92,0.0
2.1,3908021.0,25.0,0,1,60114.13,41249.06
0.1,4490000.0,28.0,0,0,3820.91,332298.83
7.9,794598.0,25.0,1,0,263936.95,290451.55
5.2,1839982.0,28.0,0,0,340115.8,0.0
3.7,662133.0,27.0,1,0,15333.3,0.0
0.8,1840000.0,20.0,0,2,14251.75,16421.05
2.6,1820000.0,26.0,0,1,51435.33,15320.7
5.4,9995915.0,20.0,0,0,472074.03,543917.98
0.7,339029.0,19.0,1,0,15201.68,0.0
0.7,926986.0,29.0,1,0,4266.27,0.0
0.7,1300000.0,23.0,0,0,55768.12,146808.13
7.3,1009974.0,23.0,1,0,320790.45,0.0
0.2,898983.0,28.0,1,0,1827.18,0.0
9.3,2860000.0,30.0,0,0,991890.44,134579.55
0.2,330000.0,24.0,1,0,626.72,941.07
0.6,6340750.0,25.0,0,0,27778.21,0.0
4.9,1626582.0,23.0,0,0,372534.86,0.0
1.0,4164965.0,32.0,0,0,24375.0,138524.39
2.2,2648661.0,30.0,0,0,35199.71,25783.7
3.5,12697016.0,33.0,0,0,222323.05,0.0
1.5,1035324.0,26.0,1,0,11458.13,22418.57
3.5,2344813.0,30.0,0,0,48346.61,0.0
5.8,1200000.0,30.0,1,0,65568.0,78472.89
4.4,600000.0,23.0,1,0,21485.85,0.0
